x,y,z,bx,by,bz
-0.1421447553254071,0.0250639555300726,0.0749999999999999,-0.1225979050876871,0.3918283439168107,1021.3091354467224
-0.1421447553254071,0.0250639555300726,0.15,-0.1312576990990545,0.3707179231409885,1021.2738722708796
-0.1443375672974064,1.7676253978748448e-17,-0.15,-0.0918988628837363,0.4376116417772474,1021.4278482020416
-0.1443375672974064,1.7676253978748448e-17,-0.075,-0.1061742656594308,0.4278026125245025,1021.3891398374968
-0.1443375672974064,1.7676253978748448e-17,0.0,-0.1160662843261147,0.4147235534175436,1021.35243255026
-0.1443375672974064,1.7676253978748448e-17,0.0749999999999999,-0.1228594728552646,0.3974062172237144,1021.3154318489362
-0.1443375672974064,1.7676253978748448e-17,0.15,-0.132460847916445,0.3766807971330853,1021.2805192832928
-0.1421447553254072,-0.0250639555300725,-0.15,-0.0865732614306709,0.4424060339790013,1021.4318840858306
-0.1421447553254072,-0.0250639555300725,-0.075,-0.1023743780815286,0.4331662189149583,1021.3935273796544
-0.1421447553254072,-0.0250639555300725,0.0,-0.1123225514110174,0.4200346615132523,1021.357103505431
-0.1421447553254072,-0.0250639555300725,0.0749999999999999,-0.1198152333880056,0.4027198428940608,1021.3202520930308
-0.1421447553254072,-0.0250639555300725,0.15,-0.1307212895010495,0.3830199843541729,1021.2857156345852
-0.1356329468915622,-0.0493663554543372,-0.15,-0.0787399737167919,0.4466636596481718,1021.43398864121
-0.1356329468915622,-0.0493663554543372,-0.075,-0.094939059835056,0.4387670605102859,1021.39638652041
-0.1356329468915622,-0.0493663554543372,0.0,-0.1048381523096315,0.4251686340167664,1021.360048259312
-0.1356329468915622,-0.0493663554543372,0.0749999999999999,-0.1140054281233019,0.4083954050105111,1021.323668924015
-0.1356329468915622,-0.0493663554543372,0.15,-0.1257903382623958,0.3888059421230272,1021.2891526378696
-0.125,-0.0721687836487031,-0.15,-0.0687185203383321,0.4505492381228337,1021.4342886255412
-0.125,-0.0721687836487031,-0.075,-0.0853034504740282,0.4427086417085336,1021.3970547158718
-0.125,-0.0721687836487031,0.0,-0.0959705798187964,0.4302627986338168,1021.3609233362724
-0.125,-0.0721687836487031,0.0749999999999999,-0.1064402334093794,0.4138816188776189,1021.325543394704
-0.125,-0.0721687836487031,0.15,-0.1179338983784332,0.3948661392406067,1021.2914604220472
-0.1105689913614897,-0.0927783998710698,-0.15,-0.0555156095342966,0.4537392869739168,1021.4330259956772
-0.1105689913614897,-0.0927783998710698,-0.075,-0.0729187176594352,0.4466957269612164,1021.395844107692
-0.1105689913614897,-0.0927783998710698,0.0,-0.0848039693740226,0.4348051632739195,1021.3607131155512
-0.1105689913614897,-0.0927783998710698,0.0749999999999999,-0.0952718294590678,0.418287055153258,1021.3249528241282
-0.1105689913614897,-0.0927783998710698,0.15,-0.1075853024278889,0.4002189814823452,1021.292013284579
-0.0927783998710699,-0.1105689913614897,-0.15,-0.0411673825858271,0.4563282361905689,1021.4298288686914
-0.0927783998710699,-0.1105689913614897,-0.075,-0.0585664605114983,0.4496456384243097,1021.392888960714
-0.0927783998710699,-0.1105689913614897,0.0,-0.0716601588757886,0.438098734929604,1021.35851619761
-0.0927783998710699,-0.1105689913614897,0.0749999999999999,-0.0831017806451678,0.4231605967557181,1021.3241432955834
-0.0927783998710699,-0.1105689913614897,0.15,-0.0948463582853991,0.4055734858866601,1021.2916317639812
-0.0721687836487032,-0.1249999999999999,-0.15,-0.0250318351997008,0.4576991580898397,1021.4252219791914
-0.0721687836487032,-0.1249999999999999,-0.075,-0.042769414908747,0.4520268361807513,1021.389129769668
-0.0721687836487032,-0.1249999999999999,0.0,-0.0566944603396008,0.4409906902462397,1021.3552774716431
-0.0721687836487032,-0.1249999999999999,0.0749999999999999,-0.068943835471096,0.426413754043354,1021.3211840006564
-0.0721687836487032,-0.1249999999999999,0.15,-0.0810535461616722,0.4101944148690012,1021.2900565129876
-0.0493663554543373,-0.1356329468915622,-0.15,-0.0077694940735909,0.4579449703028788,1021.419407850983
-0.0493663554543373,-0.1356329468915622,-0.075,-0.0255887741847487,0.4529279162036646,1021.383896390652
